Japanese word,Translation, Transcription
効率, эффективность, Kōritsu
最適化, оптимизация, Saitenkika
エラー処理, обработка ошибок, Eraa shori
非同期, асинхронный, Hisouki
同期処理, синхронная обработка, Douki shori
テスト, тест, Tesuto
ユニットテスト, юнит-тест, Yunitto tesuto
結合テスト, интеграционное тестирование, Ketsugou tesuto
システムテスト, системное тестирование, Shisutemu tesuto
アクセシビリティ, доступность, Akuseshibiriti
ユーザビリティ, удобство использования, Yuuza biriti
パフォーマンス, производительность, Pafōmansu
ボトルネック, узкое место, Botorunekku
スケーラビリティ, масштабируемость, Sukērabiriti
耐障害性, устойчивость к сбоям, Taishougai-sei
セキュア, безопасный, Sekyua
プライバシー, конфиденциальность, Puraibashī
規模, масштаб, Kibo
展開, развертывание, Tenkai
リリース, релиз, Rirīsu
デプロイ, деплой, Depuroi
インストール, установка, Insutooru
アップロード, загрузка, Appurōdo
ダウンロード, скачивание, Daunrōdo
マイグレーション, миграция, Maigurēshon
アーキテクチャ, архитектура, Ākitekucha
ポート, порт, Pōto
バージョン管理, управление версиями, Bājon kanri
フューチャー, функция, Fyūchā
トランザクション, транзакция, Toranzakushon
リファクタリング, рефакторинг, Rifakutaringu
ワークフロー, рабочий процесс, Wākufurō
モジュール化, модульность, Mojūrukka
レポジトリ, репозиторий, Repojitōri
マージ, слияние, Māji
プルリクエスト, pull-запрос, Puru rikuesuto
コミット, коммит, Komitto
ブランチ, ветка, Buranchi
タグ, тег, Tagu
リモート, удалённый, Rimōto
ローカル, локальный, Rōkaru
ホスティング, хостинг, Hosutingu
データセンター, дата-центр, Dēta sentā
オートスケーリング, автоматическое масштабирование, Ootosukēringu
キャパシティ, ёмкость, Kyapashiti
デバイス, устройство, Debaisu
コンソール, консоль, Konsōru
ロギング, логирование, Rogingu
監視, мониторинг, Kanshi
ダッシュボード, дашборд, Dasshubōdo
アラート, оповещение, Arāto
通知, уведомление, Tsūchi
デバッグ情報, информация для отладки, Debaggu jōhō
ダウンタイム, простой, Dauntaimu
リトライ, повтор, Ritorai
